Cluster717	Cobl#Armcx1#Tmprss5#Adam23#Sptssb
Cluster606	Hn1#Tuba1b#Tubb5#Tuba1c#Tubb4b
Cluster550	Cnih1#Denr#Dstn#Sec22b#Fkbp1a
Cluster612	Ltbr#Akt1#P3h4#Sh3pxd2a#Map4
Cluster703	Emb#Bend4#Gpt2#Rnps1#Bst2
Cluster587	Avil#Nf2#Pcsk1n#Dmrtc2#Acsbg1
Cluster656	Hoxb2#Hoxb3#Hoxb8#Hoxb7#Hoxb5
Cluster657	Kif15#Pola1#Dek#Skp2#Smc3
Cluster695	Chd1#Xpo1#Lbr#Fem1b#Vbp1
Cluster499	1500012F01Rik#Epb4.1l4aos#1110038B12Rik#2410006H16Rik#Gas5
Cluster730	Zwilch#Ska3#Trip13#Plk4#Mis18a
Cluster733	Figf#Anxa8#Sqrdl#Micu1#Mgst3
Cluster671	Mdn1#E2f4#Rnf44#Otud4#Plekhf2
Cluster722	Hoxb6#Hoxa3#Hoxa2#Hoxb4#Hoxc4
Cluster728	Rrp1b#Sephs2#Nudt21#Bcas2#Dnajc21
Cluster479	Aldoa#Gapdh#Pgk1#Ldha#Pkm
Cluster719	Nop9#Cep57#Suv39h2#Gemin6#Lsm2#Cdkn2aipnl
Cluster718	Mt2#Mt1#Parp1#Polr2e#Chchd10#Pmm1
Cluster712	Dock9#Rnf13#Peli2#Il34#Abat#Pink1
Cluster593	Laptm4a#Prnp#Itm2b#Emp3#Tmem59#Pcolce
Cluster592	Ppap2b#Ogn#Mgp#Gas1#Mmp2#Serpine2
Cluster682	Thbs2#Fbn1#Marcks#Emp1#Prrx1#Fstl1
Cluster704	Fzd1#Pmp22#Pdgfrl#Colec12#Rbms3#Dab2
Cluster660	Myh10#Pdgfc#Col11a1#Nuak1#Fhl2#P4ha3
Cluster679	Seh1l#Mrpl18#Metap2#C1qbp#Gnpat#Nol11
Cluster670	Ephx1#Ly6a#Ccnd1#Cd109#Ccnd2#Cd81
Cluster532	Fxyd5#Sh3bgrl3#Prdx5#Serpinb6a#Arhgdib#Capg
Cluster723	Tek#Zfp704#Cpne3#Mfsd6#Pde9a#Syne2
Cluster729	Prps1#Hnrnpab#Lyar#Cacybp#Noc4l#Tra2b
Cluster608	Pcx#Itgb4#Ano1#Dclk2#Rapgef4#Sybu
Cluster736	Lsm8#Zfp706#Glrx5#Rbbp7#Pcbp2#Pcbp1#Sdhd
Cluster610	Pdlim5#Cnn1#Mgll#Msrb3#Fermt2#Lmod1#Picalm
Cluster807	Cdh13#Hcfc1r1#C1qtnf1#Tmem176a#Sfxn3#Tmem176b#Smarca2
Cluster737	Pcgf6#Usp7#Polr3g#Cnot3#Cnot1#Setdb1#Rnmt
Cluster721	Cdh11#Ikbip#Sdc3#Fgf7#Lamb1#Fndc3b#Zeb1
Cluster488	H2-D1#Ctsb#Ctsd#Ftl1#B2m#Lgals3#Fth1
Cluster734	Api5#Hcfc1#Nup160#Dhx15#Tcerg1#Cstf2#Sf3a1#Pnn
Cluster685	Degs1#Tmed5#Snx7#Dynlt3#Sec63#Mprip#Clptm1l#Mcfd2#Bnip2
Cluster510	Apod#Igfbp3#Clec3b#C1ra#Nid2#Fmod#Tgfbi#Prelp#Fbln5
Cluster605	Ybx1#Trim28#Pabpc1#Prdx6#Hsp90ab1#Ncl#Nap1l1#Hsp90aa1#Npm1
Cluster731	Dcbld2#Ryk#Cep170#Dnajc3#Lims1#Rbms1#Crk#Steap2#Syde1
Cluster720	Psip1#Ptma#H2afz#Hnrnpk#Anp32e#Matr3#Nucks1#Hnrnpc#Ywhae
Cluster545	Rpn1#Hspa5#Calr#Hsp90b1#Ssr1#Ssr3#Magt1#Manf#P4hb#Canx
Cluster680	Ankrd50#Tgfb3#Peak1#Pmepa1#Zfp503#Oat#Fosl2#Arhgap29#Pja2#Foxc2#Snai1
Cluster732	Tdh#Nanog#Smagp#Tfap2c#Tfcp2l1#Zfp296#Dppa3#Mylpf#Fam25c#Elf3#Fgf4#Alg13#Alpl
Cluster531	Anxa2#Anxa5#Gnas#Tmsb4x#Tm4sf1#Vim#Myl6#S100a11#Esd#S100a10#Ptrf#S100a4#Lmna#S100a6#Lgals1
Cluster726	Ppm1g#Rcc1#Set#Srsf2#Ran#Rrp9#Srm#Ppil1#Tomm40#Uba2#Hdgf#Cse1l#Ppif#Gart#Ipo5#Eif5a
