Regulator	Target	Regression_coefficient	Correlation_coefficient
Nanog	Alg13	0.298962	0.625618
Snai2_nca	Alg13	0.16372	0.496759
Elf3	Alpl	0.150014	0.439077
Nanog	Alpl	0.549749	0.640071
Dppa5a	Dppa3	0.309804	0.589314
Elf3	Dppa3	0.016175	0.440691
Nanog	Dppa3	0.142291	0.53203
Snai2_nca	Dppa3	0.26406	0.629786
Dppa3	Elf3	0.18112	0.440691
Nanog	Elf3	0.336941	0.517103
Tfcp2l1	Elf3	0.161856	0.426173
Dppa3	Fam25c	0.137108	0.371309
Esrrb	Fam25c	0.406611	0.485583
Nanog	Fgf4	0.31854	0.629286
Nr6a1_nca	Fgf4	0.455912	0.670774
Dppa3	Mylpf	0.148844	0.595462
Dppa5a	Mylpf	0.288533	0.60621
Esrrb	Mylpf	0.299352	0.651058
Nanog	Mylpf	0.115787	0.541791
Tfcp2l1	Mylpf	0.049847	0.484661
Elf3	Nanog	0.026503	0.517103
Esrrb	Nanog	0.119575	0.623387
Nr6a1_nca	Nanog	0.131558	0.712786
Snai2_nca	Nanog	0.234876	0.623121
Tfcp2l1	Nanog	0.039886	0.517748
Esrrb	Tdh	0.407619	0.695727
Nr6a1_nca	Tdh	0.270277	0.642767
Dppa5a	Tfap2c	-0.077527	0.1861
Nanog	Tfap2c	0.503105	0.588609
Elf3	Tfcp2l1	0.094636	0.426173
Esrrb	Tfcp2l1	0.222178	0.552217
Nanog	Tfcp2l1	0.172463	0.517748
