Regulator	Target	Regression_coefficient	Correlation_coefficient
Nanog	Alg13	0.24616	0.592807
Snai2_nca	Alg13	0.07248	0.160848
Elf3	Alpl	0.198157	0.354566
Nanog	Alpl	0.220118	0.415492
Dppa5a	Dppa3	0.215802	0.542547
Elf3	Dppa3	0.197607	0.45592
Nanog	Dppa3	0.349564	0.638112
Snai2_nca	Dppa3	0.084962	0.357771
Dppa3	Elf3	0.236116	0.45592
Nanog	Elf3	0.200686	0.474131
Tfcp2l1	Elf3	0.236289	0.432242
Dppa3	Fam25c	0.303759	0.52075
Esrrb	Fam25c	0.336452	0.532358
Nanog	Fgf4	0.228918	0.39838
Nr6a1_nca	Fgf4	0.296159	0.459252
Dppa3	Mylpf	0.258464	0.579875
Dppa5a	Mylpf	0.102272	0.448934
Esrrb	Mylpf	0.160874	0.567552
Nanog	Mylpf	0.193297	0.564538
Tfcp2l1	Mylpf	-0.015517	0.33569
Elf3	Nanog	0.04423	0.474131
Esrrb	Nanog	0.383046	0.776485
Nr6a1_nca	Nanog	0.039766	0.582383
Snai2_nca	Nanog	0.088371	0.360069
Tfcp2l1	Nanog	0.057791	0.519602
Esrrb	Tdh	0.156121	0.520774
Nr6a1_nca	Tdh	0.352382	0.589614
Dppa5a	Tfap2c	0.038379	0.300496
Nanog	Tfap2c	0.159176	0.427554
Elf3	Tfcp2l1	0.198878	0.432242
Esrrb	Tfcp2l1	0.156501	0.504577
Nanog	Tfcp2l1	0.238091	0.519602
